各国offer数量
国家,数量
美国,41
加拿大,11
英国,3
澳大利亚,1
中国香港,1

QS排名
统计项,数量
QS50以内offer数量,7
QS100以内offer数量,9

各专业offer数量
专业,数量
Computer Science,27
Computer Engineering,7
Engineering,4
Statistics,3
Electrical and Computer Engineering,3
Computer Science and Engineering,2
Electrical Engineering,2
Robotics,1
Electrical and Electronic Engineering,1
Physics,1
Imaging Science,1
Engineering (Undecided),1
Engineering (Exploratory),1
Engineering Physics,1
Electrical Engineering and Physics,1
Data Science,1
